fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,R/W,quality
4.6,0.520,0.15,2.1,0.054,8,65,0.99340,3.90,0.56,13.1,R,4
4.7,0.600,0.17,2.3,0.058,17,106,0.99320,3.85,0.60,12.9,R,6
4.9,0.420,0.00,2.1,0.048,16,42,0.99154,3.71,0.74,14.0,R,7
5.0,0.380,0.01,1.6,0.048,26,60,0.99084,3.70,0.75,14.0,R,6
5.0,0.400,0.50,4.3,0.046,29,80,0.99020,3.49,0.66,13.6,R,6
5.0,0.420,0.24,2.0,0.060,19,50,0.99170,3.72,0.74,14.0,R,8
5.0,0.740,0.00,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,R,6
5.0,1.020,0.04,1.4,0.045,41,85,0.99380,3.75,0.48,10.5,R,4
5.0,1.040,0.24,1.6,0.050,32,96,0.99340,3.74,0.62,11.5,R,5
5.1,0.420,0.00,1.8,0.044,18,88,0.99157,3.68,0.73,13.6,R,7
5.1,0.470,0.02,1.3,0.034,18,44,0.99210,3.90,0.62,12.8,R,6
5.1,0.510,0.18,2.1,0.042,16,101,0.99240,3.46,0.87,12.9,R,7
5.1,0.585,0.00,1.7,0.044,14,86,0.99264,3.56,0.94,12.9,R,7
5.2,0.320,0.25,1.8,0.103,13,50,0.99570,3.38,0.55,9.2,R,5
5.2,0.340,0.00,1.8,0.050,27,63,0.99160,3.68,0.79,14.0,R,6
5.2,0.340,0.00,1.8,0.050,27,63,0.99160,3.68,0.79,14.0,R,6
5.2,0.480,0.04,1.6,0.054,19,106,0.99270,3.54,0.62,12.2,R,7
5.2,0.490,0.26,2.3,0.090,23,74,0.99530,3.71,0.62,12.2,R,6
5.2,0.645,0.00,2.2,0.080,15,28,0.99444,3.78,0.61,12.5,R,6
5.3,0.470,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.6,R,7
5.3,0.470,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.6,R,7
5.3,0.570,0.01,1.7,0.054,5,27,0.99340,3.57,0.84,12.5,R,7
5.3,0.715,0.19,1.5,0.161,7,62,0.99395,3.62,0.61,11.0,R,5
5.4,0.420,0.27,2.0,0.092,23,55,0.99471,3.78,0.64,12.3,R,7
5.4,0.580,0.08,1.9,0.059,20,31,0.99484,3.50,0.64,10.2,R,6
5.4,0.740,0.00,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,R,6
5.4,0.740,0.09,1.7,0.089,16,26,0.99402,3.67,0.56,11.6,R,6
5.4,0.835,0.08,1.2,0.046,13,93,0.99240,3.57,0.85,13.0,R,7
5.5,0.490,0.03,1.8,0.044,28,87,0.99080,3.50,0.82,14.0,R,8
5.6,0.310,0.37,1.4,0.074,12,96,0.99540,3.32,0.58,9.2,R,5
5.6,0.310,0.78,13.9,0.074,23,92,0.99677,3.39,0.48,10.5,R,6
5.6,0.500,0.09,2.3,0.049,17,99,0.99370,3.63,0.63,13.0,R,5
5.6,0.500,0.09,2.3,0.049,17,99,0.99370,3.63,0.63,13.0,R,5
5.6,0.540,0.04,1.7,0.049,5,13,0.99420,3.72,0.58,11.4,R,5
5.6,0.540,0.04,1.7,0.049,5,13,0.99420,3.72,0.58,11.4,R,5
5.6,0.605,0.05,2.4,0.073,19,25,0.99258,3.56,0.55,12.9,R,5
5.6,0.615,0.00,1.6,0.089,16,59,0.99430,3.58,0.52,9.9,R,5
